system:index,ETi,area,closestFieldsEtAvg,endDate,et,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,numberOfClosestFields,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume
0_0_10_00000000000000000167,0,164651.4991778439,21.87502000227897,11/1/2011,19.878728992718194,30,26.432105985862968,26.432105985862968,4352.0858769999995,4352.0858769999995,9,10/1/2011,1.32013E+12,1.31745E+12,26.432105985862968,4352.0858769999995,0,0
0_0_10_000000000000000001e0,0,519541.8245575392,19.080624601654932,11/1/2011,13.241308196921496,32,0,0,0,0,7,10/1/2011,1.32013E+12,1.31745E+12,0,0,0,0
0_0_100_00000000000000000035,0,136664.5351726821,40.912631136136035,5/1/2019,39.55946920896677,26,13.040479197826581,13.040479197826581,1782.171028,1782.171028,12,4/1/2019,1.55669E+12,1.5541E+12,13.040479197826581,1782.171028,0,0
0_0_100_0000000000000000017f,0,154262.61811411605,46.13973600130648,5/1/2019,41.22274870720095,30,0.9496491683528265,0.9496491683528265,146.495367,146.495367,11,4/1/2019,1.55669E+12,1.5541E+12,0.9496491683528265,146.495367,0,0
0_0_101_00000000000000000232,0,300941.6977679161,97.13972533774475,6/1/2019,84.41971557,6,17.783553085844808,17.783553085844808,5351.812658,5351.812658,10,5/1/2019,1.55937E+12,1.55669E+12,17.783553085844808,5351.812658,0,0
0_0_101_00000000000000000269,0,458936.39519420173,95.96799785384262,6/1/2019,91.90158837393189,7,0.7472890570269006,0.7472890570269006,342.958146,342.958146,12,5/1/2019,1.55937E+12,1.55669E+12,0.7472890570269006,342.958146,0,0
0_0_101_00000000000000000114,0,1637586.3283170746,92.28492369273822,6/1/2019,66.07890541175254,12,0.29833468413972103,0.29833468413972103,488.5488,488.5488,16,5/1/2019,1.55937E+12,1.55669E+12,0.29833468413972103,488.5488,0,0
0_0_101_000000000000000000f1,0,1008513.2941373616,93.09335497002846,6/1/2019,78.86698452377608,15,13.284455717621135,13.284455717621135,13397.5502,13397.5502,9,5/1/2019,1.55937E+12,1.55669E+12,13.284455717621135,13397.5502,0,0
0_0_101_000000000000000001f4,0,1601297.9221629903,95.74062629095279,6/1/2019,87.41557320556032,17,7.666097556923264,7.666097556923264,12275.70609,12275.70609,20,5/1/2019,1.55937E+12,1.55669E+12,7.666097556923264,12275.70609,0,0
0_0_101_00000000000000000036,0,136664.5351726821,88.34987810955006,6/1/2019,87.18175727905181,26,53.07319922,53.07319922,7253.224101,7253.224101,12,5/1/2019,1.55937E+12,1.55669E+12,53.07319922,7253.224101,0,0
0_0_101_00000000000000000180,0,154262.61811411605,85.63797795560434,6/1/2019,81.60304404292646,30,17.925548255342115,17.925548255342115,2765.242005,2765.242005,11,5/1/2019,1.55937E+12,1.55669E+12,17.925548255342115,2765.242005,0,0
0_0_102_00000000000000000270,0,458936.39519420173,82.4117739,7/1/2019,81.00168126578582,7,0,0,0,0,12,6/1/2019,1.56196E+12,1.55937E+12,0,0,0,0
0_0_102_0000000000000000020f,0,447255.12264764094,93.90510065779017,7/1/2019,88.89000245406548,9,85.71322701294542,85.71322701294542,38335.67986,38335.67986,6,6/1/2019,1.56196E+12,1.55937E+12,85.71322701294542,38335.67986,0,0
0_0_102_00000000000000000115,0,1637586.3283170746,90.74729487865054,7/1/2019,78.16893467029197,12,16.39917980472431,16.39917980472431,26855.072643829997,26855.072643829997,16,6/1/2019,1.56196E+12,1.55937E+12,16.39917980472431,26855.072643829997,0,0
0_0_102_000000000000000000f2,0,1008513.2941373616,94.66351465764595,7/1/2019,90.75306153975787,15,74.86652177434382,74.86652177434382,75503.8825,75503.8825,9,6/1/2019,1.56196E+12,1.55937E+12,74.86652177434382,75503.8825,0,0
0_0_102_000000000000000000cd,0,276128.7505807344,94.05563579985711,7/1/2019,84.64182042132802,16,62.70638932198927,62.70638932198927,17315.03694,17315.03694,3,6/1/2019,1.56196E+12,1.55937E+12,62.70638932198927,17315.03694,0,0
0_0_102_0000000000000000022e,0,271207.86421645555,96.58283852811556,7/1/2019,64.47510006757808,18,0,0,0,0,10,6/1/2019,1.56196E+12,1.55937E+12,0,0,0,0
0_0_102_00000000000000000148,0,1699074.2528147923,87.82767004985904,7/1/2019,85.07461790963647,31,47.591819828379435,47.591819828379435,80862.03572,80862.03572,15,6/1/2019,1.56196E+12,1.55937E+12,47.591819828379435,80862.03572,0,0
0_0_103_0000000000000000022f,0,271207.86421645555,82.69776899798941,8/1/2019,37.90229765555958,18,0,0,0,0,10,7/1/2019,1.56464E+12,1.56196E+12,0,0,0,0
0_0_104_00000000000000000230,0,271207.86421645555,70.20305879922725,9/1/2019,45.43741227842175,18,0,0,0,0,10,8/1/2019,1.56732E+12,1.56464E+12,0,0,0,0
