system:index,ETa,ETi,P,Peff,area,endDate,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume,wb,wbA,wbR,wbRadj,wbRn1,wbRn1Adj
1_2_00000000000000000160,13.5854919,0,226.1415865,15.82991105,164651.4992,3/1/2011,30,23.18355717,23.18355717,3817.207444,3817.207444,2/1/2011,1.29897E+12,1.29655E+12,23.18355717,3817.207444,0,0,2.246473656,57.04311553,2.250213374,57.04311553,249.0756449,54.79664187
1_3_00000000000000000059,28.23331616,0,317.9027225,171.6674701,136664.5352,4/1/2011,26,0,0,0,0,3/1/2011,1.30164E+12,1.29897E+12,0,0,0,0,143.4647749,155.1508135,143.4647749,155.1508135,53.11835722,11.68603859
1_3_00000000000000000161,29.09831515,0,325.9947886,176.0371859,164651.4992,4/1/2011,30,32.19580867,32.19580867,5301.088164,5301.088164,3/1/2011,1.30164E+12,1.29897E+12,32.19580867,5301.088164,0,0,146.9449742,159.4944596,146.9449742,159.4944596,57.04311553,12.54948542
0_4_00000000000000000005,40.07353775,5.899116455,218.748615,0,136664.5352,5/1/2011,26,4.579246503,4.579246503,625.8205948,625.8205948,4/1/2011,1.30423E+12,1.30164E+12,10.47836296,1432.020603,5.899116455,806.2000082,-40.03229542,-5.899116455,0,3.003560768,155.1508135,34.13317897
0_4_00000000000000000162,52.55373807,17.47855375,220.8830493,0,164651.4992,5/1/2011,30,8.185671627,8.185671627,1347.783105,1347.783105,4/1/2011,1.30423E+12,1.30164E+12,25.66422537,4225.653183,17.47855375,2877.870078,-52.56733487,-17.47855375,0,6.69E-05,159.4944596,35.08878112
0_5_00000000000000000006,57.96822984,8.006893337,140.5831169,49.20409091,136664.5352,6/1/2011,26,23.93784893,23.93784893,3271.454997,3271.454997,5/1/2011,1.30691E+12,1.30423E+12,31.94474227,4365.713353,8.006893337,1094.258356,-8.677729421,-8.006893337,3.127438664,3.604960968,3.003560768,0.660783369
0_5_00000000000000000163,72.35917914,22.17931008,143.397318,50.18906129,164651.4992,6/1/2011,30,3.655044535,3.655044535,601.8085623,601.8085623,5/1/2011,1.30691E+12,1.30423E+12,25.83435461,4253.665217,22.17931008,3651.856655,-22.17932517,-22.17931008,0,0,6.69E-05,1.47E-05
0_5_000000000000000001df,52.81868136,3.343096773,140.0242328,49.00848147,519541.8246,6/1/2011,32,-3.343096773,3.343096773,-1736.878597,1736.878597,5/1/2011,1.30691E+12,1.30423E+12,0,0,3.343096773,1736.878597,-3.76672831,-3.343096773,2.871805994,3.262165581,1.886860424,0.415109293
0_5_0000000000000000009b,76.01138557,26.58408325,141.1993636,49.41977726,196514.873,6/1/2011,33,7.607235942,7.607235942,1494.935005,1494.935005,5/1/2011,1.30691E+12,1.30423E+12,34.19131919,6719.10275,26.58408325,5224.167745,-26.58408325,-26.58408325,0,0,0,0
0_6_00000000000000000007,62.14122649,18.17387241,67.3797306,43.12302758,136664.5352,7/1/2011,26,13.6877742,13.6877742,1870.633298,1870.633298,6/1/2011,1.3095E+12,1.30691E+12,31.8616466,4354.357123,18.17387241,2483.723825,-18.98220233,-18.17387241,0.228722029,0.499773699,3.604960968,0.793091413
