,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_residual_const,state
290,290,25.76072074,16:10.6,16:34.8,0 days 00:00:24.226886,0.71,0.07,0.54,0,0.35,0.64,0.98,0.39,0.49,0.56,0.27,0.12,0.22,COMPLETE
259,259,25.8006668,59:58.5,00:21.4,0 days 00:00:22.886764,0.75,0,0.55,0.02,0.4,0.62,0.97,0.4,0.42,0.5,0.25,0.13,0.27,COMPLETE
293,293,25.80748236,17:21.8,17:44.5,0 days 00:00:22.702658,0.68,0.05,0.53,0.05,0.33,0.62,0.97,0.39,0.5,0.58,0.24,0.12,0.22,COMPLETE
263,263,25.80809619,01:27.1,01:49.6,0 days 00:00:22.529921,0.73,0,0.55,0.02,0.39,0.62,0.97,0.4,0.45,0.49,0.25,0.13,0.27,COMPLETE
264,264,25.8092842,01:49.6,02:10.8,0 days 00:00:21.213269,0.76,0.05,0.54,0.02,0.39,0.62,0.97,0.4,0.45,0.5,0.25,0.13,0.27,COMPLETE
258,258,25.81314463,59:37.3,59:58.5,0 days 00:00:21.191425,0.74,0,0.55,0.01,0.4,0.65,0.97,0.4,0.42,0.5,0.24,0.13,0.27,COMPLETE
262,262,25.81867697,01:03.4,01:27.1,0 days 00:00:23.710948,0.76,0,0.55,0,0.4,0.62,0.97,0.4,0.45,0.5,0.24,0.13,0.27,COMPLETE
257,257,25.82156758,59:10.9,59:37.3,0 days 00:00:26.415437,0.77,0,0.55,0.02,0.4,0.63,0.95,0.4,0.42,0.49,0.23,0.13,0.27,COMPLETE
256,256,25.83092601,58:47.2,59:10.9,0 days 00:00:23.625986,0.77,0,0.42,0.02,0.4,0.63,0.94,0.4,0.42,0.46,0.23,0.13,0.27,COMPLETE
298,298,25.83096931,19:25.6,19:46.5,0 days 00:00:20.918502,0.68,0.08,0.53,0.05,0.26,0.56,0.98,0.42,0.49,0.64,0.23,0.12,0.22,COMPLETE
261,261,25.84643842,00:42.4,01:03.4,0 days 00:00:20.974197,0.76,0,0.55,0.02,0.39,0.62,0.97,0.41,0.45,0.5,0.24,0.13,0.28,COMPLETE
280,280,25.84999744,11:34.2,12:01.9,0 days 00:00:27.739825,0.72,0.02,0.59,0.04,0.4,0.58,0.98,0.4,0.44,0.45,0.24,0.11,0.25,COMPLETE
291,291,25.8540457,16:34.8,16:58.3,0 days 00:00:23.547207,0.69,0.05,0.53,0,0.31,0.66,0.98,0.39,0.54,0.56,0.27,0.12,0.22,COMPLETE
250,250,25.85411636,56:14.5,56:39.5,0 days 00:00:24.988472,0.81,0,0.53,0.01,0.43,0.67,0.94,0.33,0.39,0.46,0.24,0.14,0.28,COMPLETE
295,295,25.85977508,18:10.6,18:33.4,0 days 00:00:22.781875,0.77,0.07,0.53,0.04,0.34,0.55,0.98,0.42,0.51,0.62,0.23,0.12,0.22,COMPLETE
285,285,25.86883658,14:02.7,14:25.3,0 days 00:00:22.641640,0.7,0.02,0.59,0.05,0.37,0.63,1,0.4,0.43,0.48,0.26,0.1,0.23,COMPLETE
