system:index,ETa,ETi,P,Peff,area,endDate,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume,wb,wbA,wbR,wbRadj,wbRn1,wbRn1Adj
1_2_00000000000000000160,13.5854919,0,226.1415865,36.18265384,164651.4992,3/1/2011,30,23.18355717,23.18355717,3817.207444,3817.207444,2/1/2011,1.29897E+12,1.29655E+12,23.18355717,3817.207444,0,0,22.59921644,79.8011372,22.59921644,79.8011372,57.20192077,57.20192077
1_3_00000000000000000059,28.23331616,0,317.9027225,34.96929947,136664.5352,4/1/2011,26,0,0,0,0,3/1/2011,1.30164E+12,1.29897E+12,0,0,0,0,6.766604239,78.32971496,7.431104309,78.32971496,71.56311072,71.56311072
1_3_00000000000000000161,29.09831515,0,325.9947886,35.85942675,164651.4992,4/1/2011,30,32.19580867,32.19580867,5301.088164,5301.088164,3/1/2011,1.30164E+12,1.29897E+12,32.19580867,5301.088164,0,0,6.767215115,86.56835232,6.777747884,86.56835232,79.8011372,79.8011372
1_4_00000000000000000005,40.07353775,0,218.748615,8.749944602,136664.5352,5/1/2011,26,10.47836296,10.47836296,1432.020603,1432.020603,4/1/2011,1.30423E+12,1.30164E+12,10.47836296,1432.020603,0,0,-31.28235082,47.04736414,0,47.164479,78.32971496,78.32971496
1_4_00000000000000000162,52.55373807,0,220.8830493,8.835321973,164651.4992,5/1/2011,30,25.66422537,25.66422537,4225.653183,4225.653183,4/1/2011,1.30423E+12,1.30164E+12,25.66422537,4225.653183,0,0,-43.73201289,42.83633942,0,42.83633942,86.56835232,86.56835232
1_5_00000000000000000006,57.96822984,0,140.5831169,66.07406494,136664.5352,6/1/2011,26,31.94474227,31.94474227,4365.713353,4365.713353,5/1/2011,1.30691E+12,1.30423E+12,31.94474227,4365.713353,0,0,8.192244607,55.39024139,10.38953869,55.77814047,47.164479,47.164479
1_5_00000000000000000163,72.35917914,0,143.397318,67.39673945,164651.4992,6/1/2011,30,25.83435461,25.83435461,4253.665217,4253.665217,5/1/2011,1.30691E+12,1.30423E+12,25.83435461,4253.665217,0,0,-4.971647012,37.86469241,0.283826611,37.94144797,42.83633942,42.83633942
1_5_000000000000000001df,52.81868136,0,140.0242328,65.8113894,519541.8246,6/1/2011,32,0,0,0,0,5/1/2011,1.30691E+12,1.30423E+12,0,0,0,0,13.03617962,65.80129303,13.42661245,65.80635418,52.76511341,52.76511341
1_5_0000000000000000009b,76.01138557,0,141.1993636,66.36370089,196514.873,6/1/2011,33,34.19131919,34.19131919,6719.10275,6719.10275,5/1/2011,1.30691E+12,1.30423E+12,34.19131919,6719.10275,0,0,-9.64015962,25.54109421,0.392186964,25.54360429,35.18125383,35.18125383
0_6_00000000000000000007,62.14122649,0.857432716,67.3797306,5.390378448,136664.5352,7/1/2011,26,31.00421389,31.00421389,4237.176479,4237.176479,6/1/2011,1.3095E+12,1.30691E+12,31.8616466,4354.357123,0.857432716,117.1806436,-56.71485146,-0.857432716,0,16.67158592,55.77814047,55.77814047
0_6_0000000000000000009c,82.31134268,51.16142974,69.82597054,5.586077643,196514.873,7/1/2011,33,45.15176019,45.15176019,8872.992422,8872.992422,6/1/2011,1.3095E+12,1.30691E+12,96.31318994,18926.97429,51.16142974,10053.98187,-76.70503404,-51.16142974,0,0.013133385,25.54360429,25.54360429
0_7_00000000000000000164,89.93606526,27.79515091,79.66669578,62.14002271,164651.4992,8/1/2011,30,-1.622836869,1.622836869,-267.2025235,267.2025235,7/1/2011,1.31218E+12,1.3095E+12,26.17231404,4309.310744,27.79515091,4576.513267,-27.79515091,-27.79515091,0.080818643,0.080818643,0,0
0_7_0000000000000000009d,92.90789662,27.78483857,83.45256571,65.09300125,196514.873,8/1/2011,33,78.82059338,78.82059338,15489.4189,15489.4189,7/1/2011,1.31218E+12,1.3095E+12,106.6054319,20949.55292,27.78483857,5460.134024,-27.79828241,-27.78483857,0,0,0.013133385,0.013133385
0_8_00000000000000000008,61.90265396,46.48605391,27.18270657,2.990097722,136664.5352,9/1/2011,26,22.10664509,22.10664509,3021.194375,3021.194375,8/1/2011,1.31486E+12,1.31218E+12,68.59269899,9374.189324,46.48605391,6352.994949,-58.92667642,-46.48605391,0,1.812714533,12.24689255,12.24689255
0_8_00000000000000000165,73.355976,70.29597956,27.13026024,2.984328626,164651.4992,9/1/2011,30,-44.60416566,44.60416566,-7344.142745,7344.142745,8/1/2011,1.31486E+12,1.31218E+12,25.6918139,4230.195675,70.29597956,11574.33842,-70.3788875,-70.29597956,0,0,0.080818643,0.080818643
0_8_0000000000000000009e,77.62999571,74.2343594,30.69193977,3.376113374,196514.873,9/1/2011,33,-5.512504602,5.512504602,-1083.289142,1083.289142,8/1/2011,1.31486E+12,1.31218E+12,68.7218548,13504.86657,74.2343594,14588.15571,-74.2343594,-74.2343594,0,0,0,0
0_9_00000000000000000009,42.52501932,28.6873809,119.5678364,11.95678364,136664.5352,10/1/2011,26,-17.46115698,17.46115698,-2386.320902,2386.320902,9/1/2011,1.31745E+12,1.31486E+12,11.22622391,1534.226673,28.6873809,3920.547575,-30.53759691,-28.6873809,0,0.557419506,1.812714533,1.812714533
0_9_00000000000000000166,47.77757373,35.53685206,122.4010051,12.24010051,164651.4992,10/1/2011,30,-6.803403281,6.803403281,-1120.19055,1120.19055,9/1/2011,1.31745E+12,1.31486E+12,28.73344878,4731.005418,35.53685206,5851.195968,-35.53685206,-35.53685206,0,0,0,0
0_9_000000000000000001db,37.70704638,18.01582724,127.6738188,12.76738188,519541.8246,10/1/2011,32,8.599182315,8.599182315,4467.63487,4467.63487,9/1/2011,1.31745E+12,1.31486E+12,26.61500956,13827.61063,18.01582724,9359.975757,-24.90877251,-18.01582724,2.53E-04,4.659482846,6.75345238,6.75345238
