system:index,ETa,ETi,P,Peff,area,endDate,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume,wb,wbA,wbR,wbRadj,wbRn1,wbRn1Adj
1_2_00000000000000000160,13.5854919,0,226.1415865,151.5148629,164651.4992,3/1/2011,30,23.18355717,23.18355717,3817.207444,3817.207444,2/1/2011,1.29897E+12,1.29655E+12,23.18355717,3817.207444,0,0,137.9314255,138.7476544,137.9314255,138.7476544,40.81144383,0.816228877
1_3_00000000000000000059,28.23331616,0,317.9027225,171.6674701,136664.5352,4/1/2011,26,0,0,0,0,3/1/2011,1.30164E+12,1.29897E+12,0,0,0,0,143.4647749,165.6792462,143.4647749,165.6792462,130.6733608,22.21447134
1_3_00000000000000000161,29.09831515,0,325.9947886,176.0371859,164651.4992,4/1/2011,30,32.19580867,32.19580867,5301.088164,5301.088164,3/1/2011,1.30164E+12,1.29897E+12,32.19580867,5301.088164,0,0,146.9449742,170.5320755,146.9449742,170.5320755,138.7476544,23.58710125
1_4_00000000000000000005,40.07353775,0,218.748615,183.7488366,136664.5352,5/1/2011,26,10.47836296,10.47836296,1432.020603,1432.020603,4/1/2011,1.30423E+12,1.30164E+12,10.47836296,1432.020603,0,0,143.7165412,153.657296,143.7165412,153.657296,165.6792462,9.940754775
1_4_00000000000000000162,52.55373807,0,220.8830493,185.5417614,164651.4992,5/1/2011,30,25.66422537,25.66422537,4225.653183,4225.653183,4/1/2011,1.30423E+12,1.30164E+12,25.66422537,4225.653183,0,0,132.9744266,143.2063511,132.9744266,143.2063511,170.5320755,10.23192453
1_5_00000000000000000006,57.96822984,0,140.5831169,56.23324676,136664.5352,6/1/2011,26,31.94474227,31.94474227,4365.713353,4365.713353,5/1/2011,1.30691E+12,1.30423E+12,31.94474227,4365.713353,0,0,-1.648573576,55.20462594,5.151422005,55.20462594,153.657296,56.85319952
1_5_00000000000000000163,72.35917914,0,143.397318,57.35892719,164651.4992,6/1/2011,30,25.83435461,25.83435461,4253.665217,4253.665217,5/1/2011,1.30691E+12,1.30423E+12,25.83435461,4253.665217,0,0,-15.00945927,37.97689063,0,37.97689063,143.2063511,52.9863499
1_5_000000000000000001df,52.81868136,0,140.0242328,56.00969311,519541.8246,6/1/2011,32,0,0,0,0,5/1/2011,1.30691E+12,1.30423E+12,0,0,0,0,3.234483329,56.31366591,6.187368261,56.31366591,143.4572502,53.07918258
1_5_0000000000000000009b,76.01138557,0,141.1993636,56.47974544,196514.873,6/1/2011,33,34.19131919,34.19131919,6719.10275,6719.10275,5/1/2011,1.30691E+12,1.30423E+12,34.19131919,6719.10275,0,0,-19.52411507,32.16980575,0.006174909,32.16980575,139.7132995,51.69392082
0_6_00000000000000000007,62.14122649,22.89490202,67.3797306,33.6898653,136664.5352,7/1/2011,26,8.966744586,8.966744586,1225.435981,1225.435981,6/1/2011,1.3095E+12,1.30691E+12,31.8616466,4354.357123,22.89490202,3128.921142,-28.41536461,-22.89490202,0.006749315,0.170223012,55.20462594,5.520462594
0_6_0000000000000000009c,82.31134268,44.16114583,69.82597054,34.91298527,196514.873,7/1/2011,33,52.15204411,52.15204411,10248.65233,10248.65233,6/1/2011,1.3095E+12,1.30691E+12,96.31318994,18926.97429,44.16114583,8678.321966,-47.37812641,-44.16114583,0,0,32.16980575,3.216980575
0_7_00000000000000000164,89.93606526,55.67849444,79.66669578,34.25667919,164651.4992,8/1/2011,30,-29.50618039,29.50618039,-4858.236837,4858.236837,7/1/2011,1.31218E+12,1.3095E+12,26.17231404,4309.310744,55.67849444,9167.547581,-55.67849444,-55.67849444,0,0,0,0
0_7_0000000000000000009d,92.90789662,57.00668041,83.45256571,35.88460325,196514.873,8/1/2011,33,49.59875154,49.59875154,9746.892361,9746.892361,7/1/2011,1.31218E+12,1.3095E+12,106.6054319,20949.55292,57.00668041,11202.66056,-57.00668041,-57.00668041,0,0,0,0
0_8_00000000000000000008,61.90265396,52.40282684,27.18270657,9.513947299,136664.5352,9/1/2011,26,16.18987215,16.18987215,2212.581352,2212.581352,8/1/2011,1.31486E+12,1.31218E+12,68.59269899,9374.189324,52.40282684,7161.607972,-52.40282684,-52.40282684,0,0,0,0
