,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,state
0,0,35.87139101,48:34.2,49:04.5,0 days 00:00:30.279638,0.55,0.71,0.25,0.71,0.22,0.02,0.51,0.74,0.08,0.73,0.38,0.17,COMPLETE
1,1,35.87139101,49:04.5,50:49.2,0 days 00:01:44.778370,0.65,0.6,0.7,0.74,0.91,0.39,0.44,0.58,0.25,0.36,0.62,0.92,COMPLETE
2,2,35.87139101,50:49.3,51:27.5,0 days 00:00:38.260596,1,0.32,0.04,0.86,0.68,0.96,0.44,0.28,0.7,0.63,0.51,0,COMPLETE
3,3,35.87139101,51:27.5,52:13.4,0 days 00:00:45.924336,0.11,0.87,0.67,0.92,0.26,0.57,0.63,0.4,0.25,0.8,0.69,0.1,COMPLETE
4,4,35.87139101,52:13.4,53:28.4,0 days 00:01:14.991199,0.22,0.13,0.35,0.95,0.07,0.93,0.87,1,0.19,0.76,0.25,0.28,COMPLETE
5,5,35.87139101,53:28.4,54:33.2,0 days 00:01:04.754954,0.26,0.88,0.74,1,0.79,0.19,0.52,0.05,0.3,0.67,0.64,0.28,COMPLETE
6,6,35.87139101,54:33.2,55:02.3,0 days 00:00:29.106936,0.17,0.21,0.1,0.46,0.92,0.42,0.51,0.08,0.78,0.62,0.61,0.59,COMPLETE
7,7,35.87139101,55:02.3,55:38.6,0 days 00:00:36.340320,0.21,0.83,0.87,0.01,0.68,0.86,0.08,0.63,0.32,0.85,0.27,0.33,COMPLETE
8,8,35.87139101,55:38.6,56:16.7,0 days 00:00:38.083162,0.96,0.21,0.29,1,0.72,0.14,0.25,0.53,0.2,0.95,0.45,0.07,COMPLETE
9,9,35.87139101,56:16.7,56:58.0,0 days 00:00:41.302751,0.8,0.59,0.19,0.16,0.81,0.35,0.58,0.24,0.63,0.13,0.06,0.5,COMPLETE
10,10,35.87139101,56:58.0,58:29.7,0 days 00:01:31.703130,0.44,0.41,0.46,0.6,0.4,0.02,0.98,0.84,0,0.4,0.9,0.81,COMPLETE
11,11,35.87139101,58:29.7,59:13.6,0 days 00:00:43.872129,0.6,0.63,0.59,0.68,0.1,0.58,0.31,0.7,0,0.35,0.9,1,COMPLETE
12,12,35.87139101,59:13.6,00:30.4,0 days 00:01:16.839776,0.6,0.67,0.97,0.74,0.44,0.27,0.73,0.78,0.96,0.18,0.33,0.66,COMPLETE
13,13,35.87139101,00:30.4,01:18.6,0 days 00:00:48.112698,0.43,0.74,0.44,0.47,0.23,0.75,0.35,0.54,0.47,0.43,0.78,0.99,COMPLETE
14,14,35.87139101,01:18.6,02:29.4,0 days 00:01:10.848725,0.72,0.47,0.81,0.3,1,0.01,0.16,0.9,0.43,0.28,0.09,0.83,COMPLETE
15,15,35.87139101,02:29.4,03:43.9,0 days 00:01:14.477294,0.76,0.98,0.58,0.76,0.56,0.69,0.74,0.65,0.11,0,0.39,0.4,COMPLETE
16,16,35.87139101,03:43.9,04:58.5,0 days 00:01:14.635159,0.56,0.55,0.23,0.58,0.28,0.46,0.41,0.4,0.08,0.54,0.54,0.16,COMPLETE
17,17,35.87139101,04:58.5,05:45.1,0 days 00:00:46.550934,0.38,0.74,0.35,0.82,0.58,0.14,0,0.75,0.35,1,0.19,0.76,COMPLETE
18,18,35.87139101,05:45.1,07:41.4,0 days 00:01:56.352010,0.87,0.45,0.55,0.38,0.35,0.29,0.72,0.44,0.58,0.51,0.81,0.47,COMPLETE
19,19,35.87139101,07:41.4,08:31.5,0 days 00:00:50.068227,0.66,0,0.99,0.63,0.17,0.55,0.24,0.94,0.09,0.28,1,0.61,COMPLETE
20,20,35.87139101,08:31.5,10:17.3,0 days 00:01:45.787258,0.32,0.73,0.7,0.72,0,0.66,0.63,0.58,0.4,0.71,0.43,0.2,COMPLETE
21,21,35.87139101,10:17.3,10:50.5,0 days 00:00:33.196086,0,0.33,0.02,0.86,0.87,0.99,0.43,0.3,0.75,0.59,0.53,0,COMPLETE
22,22,35.87139101,10:50.5,11:55.4,0 days 00:01:04.917100,0.95,0.38,0.01,0.84,0.67,0.77,0.45,0.2,0.75,0.87,0.56,0,COMPLETE
23,23,35.87139101,11:55.4,13:28.3,0 days 00:01:32.928991,0.49,0.3,0.1,0.55,0.54,0.39,0.34,0.45,0.57,0.46,0.72,0.19,COMPLETE
24,24,35.87139101,13:28.3,15:05.7,0 days 00:01:37.396227,0.87,0.5,0.2,0.8,0.98,0.84,0.55,0.31,0.9,0.64,0.37,0.12,COMPLETE
25,25,35.87139101,15:05.7,16:45.9,0 days 00:01:40.180801,0.67,0.54,0.12,0.69,0.75,0.25,0.43,0.15,0.64,0.58,0.48,0.38,COMPLETE
26,26,35.87139101,16:45.9,17:46.5,0 days 00:01:00.565579,0.53,0.66,0.38,0.89,0.63,0.1,0.67,0.8,0.16,0.72,0.15,0.22,COMPLETE
27,27,35.87139101,17:46.5,19:04.4,0 days 00:01:17.903201,1,0.8,0.26,0.66,0.86,0.51,0.23,0.69,0.84,0.3,0.31,0.9,COMPLETE
28,28,35.87139101,19:04.4,19:56.6,0 days 00:00:52.247480,0.84,0.99,0.12,0.78,0.46,0.64,0.86,0.62,0.51,0.5,0.62,0.04,COMPLETE
29,29,35.87139101,19:56.6,21:08.7,0 days 00:01:12.103521,0.67,0.91,0.64,0.92,0.31,1,0.57,0.34,0.24,0.82,0.71,0.11,COMPLETE
30,30,35.87139101,21:08.7,23:00.0,0 days 00:01:51.207878,0.36,0.28,0.8,0.52,0.91,0.34,0.37,0.48,0.68,0.9,0,0.51,COMPLETE
31,31,35.87139101,23:00.0,24:35.6,0 days 00:01:35.696210,0.48,0.82,0.68,0.93,0.15,0.89,0.83,0.38,0.26,0.8,0.69,0.26,COMPLETE
32,32,35.87139101,24:35.6,25:16.5,0 days 00:00:40.822723,0.07,0.92,0.77,0.97,0.22,0.76,0.48,1,0.18,0.76,0.61,0.05,COMPLETE
33,33,35.87139101,25:16.5,26:47.9,0 days 00:01:31.431775,0.27,0.13,0.89,0.88,0.39,0.6,0.65,0.27,0.38,0.7,0.49,0.13,COMPLETE
34,34,35.87139101,26:47.9,28:02.0,0 days 00:01:14.072401,0.07,0.85,0.51,0.94,0.02,0.2,0.5,0.14,0.29,0.76,0.58,0.28,COMPLETE
35,35,35.87139101,28:02.0,28:37.3,0 days 00:00:35.349675,0.18,0.77,0.32,0.8,0.5,0.44,0.6,0.56,0.14,0.65,0.66,0.34,COMPLETE
36,36,35.87139101,28:37.3,30:15.0,0 days 00:01:37.641305,0.6,0.68,0.41,0.98,0.08,0.93,0.52,0.5,0.24,0.89,0.78,0.09,COMPLETE
37,37,35.87139101,30:15.0,31:40.3,0 days 00:01:25.327092,0.26,0.59,0.71,0,0.79,0.07,0.68,0.05,0.04,0.59,0.39,0.7,COMPLETE
38,38,35.87139101,31:40.3,33:16.1,0 days 00:01:35.825433,0.78,0.18,0.5,0.71,0.27,0.82,0.29,0.36,0.31,0.77,0.44,0.24,COMPLETE
39,39,35.87139101,33:16.1,34:34.9,0 days 00:01:18.747273,0.71,0.6,0.16,0.41,0.63,0.22,0.77,0.23,0.2,0.67,0.27,0.06,COMPLETE
40,40,35.87139101,34:34.9,35:47.0,0 days 00:01:12.130334,0.92,0.89,0.61,0.63,0.15,0.52,0.53,0.6,0.52,0.2,0.83,0.32,COMPLETE
41,41,35.87139101,35:47.0,37:03.8,0 days 00:01:16.816767,0.07,0.06,0.3,0.9,0.1,0.91,1,0.85,0.06,0.94,0.22,0.15,COMPLETE
42,42,35.87139101,37:03.8,37:59.8,0 days 00:00:55.975711,0.15,0.13,0.06,1,0.21,0.95,0.93,0.69,0.14,0.38,0.29,0.18,COMPLETE
43,43,35.87139101,37:59.8,39:39.7,0 days 00:01:39.890466,0.13,0.24,0.86,0.85,0.06,0.71,0.81,0.42,0.2,0.83,0.24,0.43,COMPLETE
44,44,35.87139101,39:39.7,41:20.7,0 days 00:01:40.997183,0.24,0.42,0.44,0.75,0.74,0.81,0.92,1,0.32,0.74,0.66,0.03,COMPLETE
45,45,35.87139101,41:20.7,42:18.7,0 days 00:00:58.053242,0.42,0.35,0.65,0.23,0.33,0.88,0.4,0.75,0.01,0.79,0.16,0.09,COMPLETE
46,46,35.87139101,42:18.8,43:28.0,0 days 00:01:09.282226,0.31,0.7,0.26,0.93,0.39,0.33,0.17,0.92,0.44,0.68,0.37,0.91,COMPLETE
47,47,35.87139101,43:28.0,44:49.8,0 days 00:01:21.737725,0,0.53,0.54,0.83,0.18,0.38,0.47,0.51,0.12,0.47,0.51,0.53,COMPLETE
48,48,35.87139101,44:49.8,45:44.1,0 days 00:00:54.337758,0.54,0.64,0.17,0.77,0.26,0.96,0.6,0.88,0.98,0.55,0.58,0.32,COMPLETE
49,49,35.87139101,45:44.1,47:17.1,0 days 00:01:33.020060,0.6,0.94,0.37,0.97,0.95,0.05,0.3,0.66,0.35,0.63,0.42,0.16,COMPLETE
50,50,35.74778467,47:17.1,47:50.2,0 days 00:00:33.032027,0.12,0.2,0.06,0.05,0.12,0.16,0.38,0.74,0.27,0.94,0.34,0.56,COMPLETE
51,51,35.82253735,47:50.2,48:23.4,0 days 00:00:33.247496,0.1,0.21,0.05,0.3,0.04,0,0.4,0.79,0.25,0.97,0.35,0.64,COMPLETE
52,52,35.7967649,48:23.4,49:17.5,0 days 00:00:54.114301,0.12,0.23,0.06,0.25,0.04,0.14,0.39,0.75,0.24,0.98,0.32,0.57,COMPLETE
53,53,35.79058667,49:17.5,49:52.8,0 days 00:00:35.227193,0.18,0.24,0.06,0.07,0.04,0.13,0.37,0.74,0.26,0.93,0.35,0.56,COMPLETE
