,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const,state
0,0,24.62067908,39:01.0,39:45.0,0 days 00:00:44.020860,0.18,0.78,0.43,0.29,0.61,0.32,0.01,0.24,0.97,0.68,0.33,0.45,0.47,COMPLETE
1,1,23.85541239,39:45.0,40:24.5,0 days 00:00:39.548879,0.73,0.34,0.99,1,0.86,0.27,0.62,0.68,0.83,0.65,0.98,0.93,0.05,COMPLETE
2,2,26.99369137,40:24.5,41:01.3,0 days 00:00:36.824200,0.36,0.55,0.44,0.06,0.12,0.94,0.57,0.32,0.91,0.37,0.87,0.01,0.15,COMPLETE
3,3,24.01666618,41:01.3,41:59.0,0 days 00:00:57.658342,1,0.67,0.26,0.88,0.58,0.17,0.46,0.74,0.03,0.96,0.41,0.75,0.43,COMPLETE
4,4,24.90627031,41:59.0,43:07.3,0 days 00:01:08.273332,0,0.4,0.28,0.91,0.6,0.38,0.79,0.79,0.53,0.67,0.6,0.01,0.5,COMPLETE
5,5,33.56973079,44:37.3,45:16.5,0 days 00:00:39.236728,0.74,0.98,0.14,0.2,0.08,0.11,0.01,0.85,0.59,0.09,0.66,0.04,0.88,COMPLETE
6,6,32.43020337,45:16.5,46:47.0,0 days 00:01:30.486203,0.37,0.18,0.01,0.37,0.44,0.14,0.43,0.37,0.3,0.5,0.42,0.1,0.94,COMPLETE
7,7,25.2184688,46:47.0,47:38.4,0 days 00:00:51.333722,0.59,0.59,0.98,0.92,0.53,0.14,0.25,0.83,0.62,0.54,0.07,0.02,0.47,COMPLETE
8,8,23.52500951,47:38.4,48:31.7,0 days 00:00:53.336447,0.8,0.55,0.08,0.78,0.3,0.62,0.62,0.75,0.35,0.17,0.3,0.43,0.28,COMPLETE
9,9,24.85642351,48:31.7,49:25.0,0 days 00:00:53.306786,0,1,0.23,0.28,0.91,0.5,0.57,0.35,0.21,0.75,0.22,0.95,0.58,COMPLETE
10,10,24.93451531,49:25.0,50:12.0,0 days 00:00:47.027591,0.9,0.04,0.7,0.59,0.29,0.78,0.94,0.08,0.32,0,0.03,0.39,0.24,COMPLETE
11,11,24.12640564,50:12.0,51:11.5,0 days 00:00:59.419845,0.68,0.36,0.74,0.73,0.92,0.67,0.75,0.6,0.77,0.22,0.96,0.65,0,COMPLETE
12,12,24.22209532,51:11.5,52:08.1,0 days 00:00:56.665487,0.79,0.28,0.99,0.69,0.79,0.62,0.74,0.99,0.75,0.27,0.73,0.33,0.21,COMPLETE
13,13,24.47197106,52:08.1,53:06.8,0 days 00:00:58.718024,0.5,0.46,0.67,0.99,0.26,0.35,0.28,0.58,0.36,0.91,0.23,1,0,COMPLETE
14,14,24.35061049,53:06.8,54:04.5,0 days 00:00:57.631487,0.86,0.21,0.84,0.71,0.76,0.51,0.92,0.65,0.44,0.39,0.8,0.69,0.32,COMPLETE
15,15,28.67652718,54:04.5,54:57.6,0 days 00:00:53.125241,0.6,0.76,0.56,0.81,0.34,0.86,0.64,0.49,0.12,0.82,0.53,0.22,0.67,COMPLETE
16,16,26.24288478,54:57.6,55:35.2,0 days 00:00:37.548872,0.99,0.02,0,0.52,1,0.02,0.34,0.96,0.7,0.54,0.98,0.54,0.11,COMPLETE
17,17,23.74776538,55:35.2,56:03.7,0 days 00:00:28.526437,0.49,0.3,0.56,1,0,0.65,0.66,0.48,0.44,0.21,0.17,0.85,0.35,COMPLETE
18,18,24.11449899,56:03.7,56:51.1,0 days 00:00:47.388289,0.43,0.16,0.53,0.81,0.17,0.76,0.85,0.49,0.43,0.16,0.15,0.84,0.33,COMPLETE
19,19,24.00392938,56:51.1,57:48.7,0 days 00:00:57.635584,0.22,0.48,0.34,0.55,0.02,0.55,0.14,0.04,0.13,0.31,0.31,0.55,0.63,COMPLETE
20,20,27.88109566,57:48.7,58:30.1,0 days 00:00:41.395055,0.56,0.67,0.1,0.65,0.41,0.67,0.7,0.19,0.25,0.07,0.18,0.25,0.74,COMPLETE
21,21,23.15824431,58:30.1,59:08.7,0 days 00:00:38.622773,0.68,0.31,0.86,1,0.19,0.42,0.6,0.68,0.45,0.42,0.34,0.82,0.32,COMPLETE
22,22,23.13908136,59:08.7,00:09.4,0 days 00:01:00.682669,0.67,0.28,0.82,0.82,0.19,0.44,0.51,0.54,0.45,0.39,0.32,0.8,0.35,COMPLETE
23,23,23.51453494,00:09.4,01:15.3,0 days 00:01:05.862030,0.65,0.43,0.84,0.81,0.21,0.41,0.51,0.9,0.52,0.44,0.45,0.78,0.25,COMPLETE
24,24,23.55341312,01:15.3,02:10.4,0 days 00:00:55.103430,0.67,0.11,0.86,0.86,0.17,0.43,0.39,0.9,0.53,0.43,0.52,0.78,0.39,COMPLETE
