,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const,datetime_start,datetime_complete,duration,state,,
989,989,19.37437124,0.58,0.58,0.29,0.98,0.04,0.5,0.66,0.23,0.13,0.69,0.3,0.93,0.4,55:51.7,56:46.7,0 days 00:00:54.911690,COMPLETE,,
974,974,19.38268449,0.62,0.6,0.28,1,0.03,0.49,0.69,0.24,0.14,0.63,0.25,0.89,0.4,46:20.1,47:12.6,0 days 00:00:52.455045,COMPLETE,,
979,979,19.38269737,0.6,0.59,0.27,0.98,0.03,0.49,0.7,0.24,0.13,0.65,0.27,0.91,0.42,49:19.2,49:47.0,0 days 00:00:27.801687,COMPLETE,,
967,967,19.38333026,0.63,0.59,0.31,1,0.04,0.5,0.63,0.24,0.13,0.64,0.31,0.94,0.4,40:58.7,41:43.5,0 days 00:00:44.789292,COMPLETE,,
963,963,19.40103169,0.59,0.62,0.25,0.98,0.05,0.51,0.59,0.26,0.11,0.64,0.28,0.96,0.4,37:51.1,38:35.6,0 days 00:00:44.471844,COMPLETE,,
854,854,19.41728974,0.59,0.65,0.2,0.97,0.08,0.5,0.52,0.28,0.12,0.64,0.18,0.31,0.42,44:52.6,45:38.1,0 days 00:00:45.535078,COMPLETE,,
451,451,19.42567271,0.78,0.51,0.33,0.91,0.06,0.53,0.62,0.22,0.13,0.57,0.45,0.81,0.4,07:10.8,08:25.5,0 days 00:01:14.694126,COMPLETE,,
913,913,19.42632543,0.62,0.61,0.27,0.93,0.08,0.5,0.52,0.29,0.13,0.64,0.25,0.05,0.4,06:07.4,06:45.7,0 days 00:00:38.341995,COMPLETE,,
845,845,19.43239384,0.55,0.56,0.21,0.95,0.03,0.51,0.5,0.3,0.12,0.64,1,0.96,0.44,38:58.1,39:29.0,0 days 00:00:30.863773,COMPLETE,,
838,838,19.43429312,0.62,0.56,0.21,0.94,0.04,0.53,0.54,0.33,0.11,0.61,0.34,1,0.41,34:13.0,34:47.4,0 days 00:00:34.370439,COMPLETE,,
