system:index,ETa,ETi,P,Peff,area,endDate,groupNumber,meterMinusModelDepth,meterMinusModelDepthAbs,meterMinusModelVolume,meterMinusModelVolumeAbs,startDate,system:time_end,system:time_start,waterMeterDepth,waterMeterVolume,waterModelDepth,waterModelVolume,wb,wbA,wbR,wbRadj,wbRn1,wbRn1Adj
1_2_00000000000000000000,13.5854919,0,226.1415865,24.87557451,164651.4992,3/1/2011,30,23.18355717,23.18355717,3817.207444,3817.207444,2/1/2011,1.29897E+12,1.29655E+12,23.18355717,3817.207444,0,0,11.29213711,199.3940531,11.29213711,199.3940531,204.4586044,188.101916
1_3_00000000000000000001,28.23331616,0,317.9027225,117.6240073,136664.5352,4/1/2011,26,0,0,0,0,3/1/2011,1.30164E+12,1.29897E+12,0,0,0,0,89.42131208,108.570735,89.42131208,108.570735,191.4942289,19.14942289
1_3_00000000000000000002,29.09831515,0,325.9947886,120.6180718,164651.4992,4/1/2011,30,32.19580867,32.19580867,5301.088164,5301.088164,3/1/2011,1.30164E+12,1.29897E+12,32.19580867,5301.088164,0,0,91.52586016,111.4652655,91.52586016,111.4652655,199.3940531,19.93940531
1_4_00000000000000000003,40.07353775,0,218.748615,214.3736427,136664.5352,5/1/2011,26,10.47836296,10.47836296,1432.020603,1432.020603,4/1/2011,1.30423E+12,1.30164E+12,10.47836296,1432.020603,0,0,174.3413473,275.3121309,174.3413473,275.3121309,108.570735,100.9707835
1_4_00000000000000000004,52.55373807,0,220.8830493,216.4653883,164651.4992,5/1/2011,30,25.66422537,25.66422537,4225.653183,4225.653183,4/1/2011,1.30423E+12,1.30164E+12,25.66422537,4225.653183,0,0,163.8980535,267.5607504,163.8980535,267.5607504,111.4652655,103.6626969
1_5_00000000000000000005,57.96822984,0,140.5831169,37.95744156,136664.5352,6/1/2011,26,31.94474227,31.94474227,4365.713353,4365.713353,5/1/2011,1.30691E+12,1.30423E+12,31.94474227,4365.713353,0,0,-19.92437877,51.65677525,1.106400408,51.65677525,275.3121309,71.58115402
1_5_00000000000000000008,76.01138557,0,141.1993636,38.12382817,196514.873,6/1/2011,33,34.19131919,34.19131919,6719.10275,6719.10275,5/1/2011,1.30691E+12,1.30423E+12,34.19131919,6719.10275,0,0,-37.88003234,30.089209,0,30.089209,261.420159,67.96924134
1_5_00000000000000000006,72.35917914,0,143.397318,38.71727585,164651.4992,6/1/2011,30,25.83435461,25.83435461,4253.665217,4253.665217,5/1/2011,1.30691E+12,1.30423E+12,25.83435461,4253.665217,0,0,-33.65111061,35.91468448,0,35.91468448,267.5607504,69.56579509
1_5_00000000000000000007,52.81868136,0,140.0242328,37.80654285,519541.8246,6/1/2011,32,0,0,0,0,5/1/2011,1.30691E+12,1.30423E+12,0,0,0,0,-14.96866693,55.68659682,0.628945616,55.68659682,271.7510144,70.65526375
0_6_00000000000000000009,62.14122649,16.30991084,67.3797306,23.58290571,136664.5352,7/1/2011,26,15.55173576,15.55173576,2125.370739,2125.370739,6/1/2011,1.3095E+12,1.30691E+12,31.8616466,4354.357123,16.30991084,2228.986384,-38.5223242,-16.30991084,0,2.077195613,51.65677525,22.21241336
0_6_0000000000000000000b,82.31134268,44.91366212,69.82597054,24.43908969,196514.873,7/1/2011,33,51.39952782,51.39952782,10100.77168,10100.77168,6/1/2011,1.3095E+12,1.30691E+12,96.31318994,18926.97429,44.91366212,8826.202609,-57.85202199,-44.91366212,0,0,30.089209,12.93835987
0_6_0000000000000000000a,86.938521,46.87339334,70.32595517,24.61408431,164651.4992,7/1/2011,30,-21.841405,21.841405,-3596.220078,3596.220078,6/1/2011,1.3095E+12,1.30691E+12,25.03198834,4121.554408,46.87339334,7717.774486,-62.31670767,-46.87339334,0,0,35.91468448,15.44331433
0_7_0000000000000000000d,86.18415357,46.32305652,79.82099441,39.11228726,136664.5352,8/1/2011,26,15.28683702,15.28683702,2089.168475,2089.168475,7/1/2011,1.31218E+12,1.3095E+12,61.60989354,8419.887463,46.32305652,6330.718988,-47.0428729,-46.32305652,0,0,2.077195613,0.706246508
0_7_00000000000000000010,92.90789662,51.99952647,83.45256571,40.8917572,196514.873,8/1/2011,33,54.60590548,54.60590548,10730.87258,10730.87258,7/1/2011,1.31218E+12,1.3095E+12,106.6054319,20949.55292,51.99952647,10218.68034,-51.99952647,-51.99952647,0,0,0,0
0_7_0000000000000000000c,89.33194978,49.09769159,81.67604972,40.02126436,271963.3675,8/1/2011,16,24.40109916,24.40109916,6636.205097,6636.205097,7/1/2011,1.31218E+12,1.3095E+12,73.49879074,19988.97864,49.09769159,13352.77354,-49.28058371,-49.09769159,0,0,0.527340004,0.179295602
0_7_0000000000000000000e,89.93606526,50.89849269,79.66669578,39.03668093,164651.4992,8/1/2011,30,-24.72617865,24.72617865,-4071.202383,4071.202383,7/1/2011,1.31218E+12,1.3095E+12,26.17231404,4309.310744,50.89849269,8380.513127,-50.89849269,-50.89849269,0,0,0,0
0_7_0000000000000000000f,68.63742377,25.80406899,82.71554672,40.53061789,519541.8246,8/1/2011,32,5.728684845,5.728684845,2976.291376,2976.291376,7/1/2011,1.31218E+12,1.3095E+12,31.53275384,16382.58446,25.80406899,13406.29309,-28.0795389,-25.80406899,0.044986053,0.387463184,6.600162399,2.244055216
0_8_00000000000000000011,61.90265396,49.68455619,27.18270657,12.23221796,136664.5352,9/1/2011,26,18.90814281,18.90814281,2584.072547,2584.072547,8/1/2011,1.31486E+12,1.31218E+12,68.59269899,9374.189324,49.68455619,6790.116777,-49.68455619,-49.68455619,0,0,0,0
0_8_00000000000000000013,77.62999571,63.79909988,30.69193977,13.81137289,196514.873,9/1/2011,33,4.922754919,4.922754919,967.3945578,967.3945578,8/1/2011,1.31486E+12,1.31218E+12,68.7218548,13504.86657,63.79909988,12537.47201,-63.79909988,-63.79909988,0,0,0,0
0_8_00000000000000000012,73.355976,61.15459902,27.13026024,12.20861711,164651.4992,9/1/2011,30,-35.46278512,35.46278512,-5839.000735,5839.000735,8/1/2011,1.31486E+12,1.31218E+12,25.6918139,4230.195675,61.15459902,10069.19641,-61.15459902,-61.15459902,0,0,0,0
0_9_00000000000000000014,42.52501932,25.75488345,119.5678364,16.73949709,136664.5352,10/1/2011,26,-14.52865954,14.52865954,-1985.552502,1985.552502,9/1/2011,1.31745E+12,1.31486E+12,11.22622391,1534.226673,25.75488345,3519.779175,-25.75488345,-25.75488345,0.041256589,0.041256589,0,0
0_9_00000000000000000017,58.90973761,40.55479747,131.0212954,18.34298136,196514.873,10/1/2011,33,-36.59630953,36.59630953,-7191.719121,7191.719121,9/1/2011,1.31745E+12,1.31486E+12,3.95848794,777.901755,40.55479747,7969.620876,-40.55479747,-40.55479747,0,0,0,0
0_9_00000000000000000015,47.77757373,30.64081186,122.4010051,17.13614071,164651.4992,10/1/2011,30,-1.907363077,1.907363077,-314.0501901,314.0501901,9/1/2011,1.31745E+12,1.31486E+12,28.73344878,4731.005418,30.64081186,5045.055608,-30.64081186,-30.64081186,0,0,0,0
0_9_00000000000000000016,37.70704638,19.80145197,127.6738188,17.87433463,519541.8246,10/1/2011,32,6.813557591,6.813557591,3539.928142,3539.928142,9/1/2011,1.31745E+12,1.31486E+12,26.61500956,13827.61063,19.80145197,10287.68248,-19.80181976,-19.80145197,0.008143566,0.008503052,4.28E-04,3.59E-04
1_10_00000000000000000018,21.52452976,0,176.9531883,122.0977,136664.5352,11/1/2011,26,5.944109677,5.944109677,812.348986,812.348986,10/1/2011,1.32013E+12,1.31745E+12,5.944109677,812.348986,0,0,100.5750774,100.5797121,100.5750774,100.5797121,0.041256589,0.004538225
1_10_00000000000000000019,19.87872899,0,184.2433473,127.1279096,164651.4992,11/1/2011,30,26.43210599,26.43210599,4352.085877,4352.085877,10/1/2011,1.32013E+12,1.31745E+12,26.43210599,4352.085877,0,0,107.241898,107.241898,107.241898,107.241898,0,0
1_10_0000000000000000001a,13.2413082,0,180.6790346,124.6685339,519541.8246,11/1/2011,32,0,0,0,0,10/1/2011,1.32013E+12,1.31745E+12,0,0,0,0,111.4351791,111.436136,111.4351791,111.436136,0.008503052,9.35E-04
1_11_0000000000000000001b,10.94789553,0,320.9074594,221.426147,164651.4992,12/1/2011,30,24.65264612,24.65264612,4059.095143,4059.095143,11/1/2011,1.32273E+12,1.32013E+12,24.65264612,4059.095143,0,0,210.4768207,239.4321331,210.4768207,239.4321331,107.241898,28.95531246
1_12_0000000000000000001c,5.17570309,0,143.0410728,90.11587586,164651.4992,1/1/2012,30,25.3607516,25.3607516,4175.685771,4175.685771,12/1/2011,1.3254E+12,1.32273E+12,25.3607516,4175.685771,0,0,84.94264769,245.3621769,84.94264769,245.3621769,239.4321331,160.4195292
1_14_0000000000000000001d,17.42898763,0,197.2730996,21.70004095,196514.873,3/1/2012,33,0,0,0,0,2/1/2012,1.33059E+12,1.32808E+12,0,0,0,0,4.271268267,202.281038,4.42329394,202.281038,215.2280105,198.0097697
1_15_0000000000000000001e,27.17930946,0,338.2415879,125.1493875,136664.5352,4/1/2012,26,0,0,0,0,3/1/2012,1.33326E+12,1.33059E+12,0,0,0,0,97.99098994,118.8383478,97.99098994,118.8383478,208.4735785,20.84735785
1_15_0000000000000000001f,26.78429971,0,349.4274532,129.2881577,196514.873,4/1/2012,33,0,0,0,0,3/1/2012,1.33326E+12,1.33059E+12,0,0,0,0,102.5106767,122.7387805,102.5106767,122.7387805,202.281038,20.2281038
1_16_00000000000000000020,44.01038392,0,196.6587173,192.725543,136664.5352,5/1/2012,26,4.838937374,4.838937374,661.311127,661.311127,4/1/2012,1.33586E+12,1.33326E+12,4.838937374,661.311127,0,0,148.7737887,259.2934522,148.7737887,259.2934522,118.8383478,110.5196634
1_16_00000000000000000021,44.15460785,0,199.259055,195.2738739,196514.873,5/1/2012,33,1.910861332,1.910861332,375.512672,375.512672,4/1/2012,1.33586E+12,1.33326E+12,1.910861332,375.512672,0,0,151.1593942,265.3064601,151.1593942,265.3064601,122.7387805,114.1470659
1_17_00000000000000000022,81.28082968,0,105.9439872,28.60487654,136664.5352,6/1/2012,26,22.38320144,22.38320144,3058.989821,3058.989821,5/1/2012,1.33853E+12,1.33586E+12,22.38320144,3058.989821,0,0,-52.5901857,14.82611186,0.88167,16.19676098,259.2934522,67.41629756
1_17_00000000000000000023,68.98711303,0,103.2818818,27.88610807,196514.873,6/1/2012,33,28.44679231,28.44679231,5590.21778,5590.21778,5/1/2012,1.33853E+12,1.33586E+12,28.44679231,5590.21778,0,0,-41.00943862,27.97024101,4.97747372,27.97024101,265.3064601,68.97967963
1_18_00000000000000000024,62.00721464,0,161.6143646,56.5650276,136664.5352,7/1/2012,26,13.9157535,13.9157535,1901.789984,1901.789984,6/1/2012,1.34113E+12,1.33853E+12,13.9157535,1901.789984,0,0,-5.428602808,1.58054945,1.523376276,7.032341928,16.19676098,6.964607222
