,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,state
0,0,27.07276191,16:08.8,16:51.1,0 days 00:00:42.269229,0.64,0.58,0.32,0.12,0.06,0.41,0.05,0.16,0.96,0.18,0.56,0.85,0.58,0.91,0.69,0.04,0.62,0.22,0.42,0.31,0.49,0.13,0.95,0.93,COMPLETE
1,1,24.63376813,16:51.1,17:31.3,0 days 00:00:40.167745,0.21,0.12,0.09,0.38,0.3,0.89,0.51,0.89,0.32,0.93,0.28,0.52,0.93,0.54,0.33,0.01,0.28,0.72,0.11,0.69,0.37,0.81,0.96,0.66,COMPLETE
2,2,24.66164497,17:31.3,18:05.5,0 days 00:00:34.277254,1,0.89,0.6,0.59,0.41,0.86,0.32,0.04,0.69,0.34,0.14,0.91,0.21,0.77,0.02,0.47,0.59,0.18,0.26,0.63,0.32,0.03,0.09,0.99,COMPLETE
3,3,23.83424671,18:05.5,18:57.3,0 days 00:00:51.770405,0.8,0.92,0.1,0.05,0.29,0.29,0.77,0.74,0.42,0.57,0.45,0.04,0.25,0.61,0.77,0.52,0.42,0.86,0.8,0.41,0.79,0.74,0.29,0.62,COMPLETE
4,4,24.98780414,18:57.3,20:11.0,0 days 00:01:13.722795,0.38,0.7,0.72,0.38,0.23,0.7,0.8,0.64,0.38,0.88,0.07,0.22,0.75,0.36,0.24,0.44,0.8,0.5,0.75,0.67,0.37,0.34,0.78,0.47,COMPLETE
5,5,25.32379423,20:11.0,20:46.5,0 days 00:00:35.442328,0.94,0.55,0.65,0.05,0.82,0.78,0.63,0.7,0.43,0.16,0.57,0.32,0.88,0.11,0.27,0.15,0.34,0.63,0.52,0.68,0.55,0.31,0.41,0.5,COMPLETE
6,6,25.75320878,20:46.5,21:25.3,0 days 00:00:38.851508,0.47,0.88,0.21,0.08,0.13,0.89,0.15,0.66,0.55,0.79,0.01,0.98,0.89,0.43,0.69,0.83,0.93,0.14,0.1,0.24,0.29,0.28,0.46,0.2,COMPLETE
7,7,24.60155294,21:25.3,22:18.7,0 days 00:00:53.401260,0.83,0.59,0.83,0,0.09,0.14,0.94,0.6,0.53,0.8,0.84,0,0.04,0.8,0.72,0.61,0.66,0.42,0.29,0.98,0.92,0.26,0.74,0.76,COMPLETE
8,8,24.35754779,22:18.7,22:49.2,0 days 00:00:30.421773,0.49,0.69,0.9,0.64,0.25,0.69,0.43,0.74,0.05,0.86,0.01,0.17,0.7,0.23,0.32,0.62,0.02,0.4,0.88,0.48,0.11,0.11,0.11,0.6,COMPLETE
9,9,24.23570399,22:49.2,23:31.6,0 days 00:00:42.389073,0.18,0,0.76,0.68,0.37,0.81,0.42,0.26,0.98,0.98,0.07,0.73,0.23,0.63,0.23,0.32,0.37,0.5,0.25,0.68,0.56,1,0.09,0.77,COMPLETE
10,10,23.9375932,23:31.6,24:05.8,0 days 00:00:34.215574,0.71,0.32,0.39,0.95,0.64,0,0.74,0.39,0.12,0.53,0.98,0.51,0.39,0.01,0.95,0.97,0.02,1,1,0.02,0.92,0.64,0.28,0.02,COMPLETE
11,11,23.84686613,24:05.8,24:55.3,0 days 00:00:49.574016,0.72,0.29,0.41,0.96,0.66,0.03,0.74,0.47,0.11,0.57,0.98,0.57,0.44,0.11,1,0.98,0.01,0.97,1,0.04,0.95,0.62,0.3,0.01,COMPLETE
12,12,24.2450483,24:55.3,25:32.4,0 days 00:00:37.086657,0.72,0.33,0.03,0.92,0.63,0.28,0.95,0.97,0.22,0.6,0.4,0.66,0.41,0.29,0.99,0.78,0.17,0.99,0.68,0.03,0.76,0.6,0.29,0.32,COMPLETE
13,13,27.95061324,25:32.4,26:16.7,0 days 00:00:44.310355,0.83,0.37,0.46,0.8,1,0.22,0.71,0.48,0,0.39,0.78,0.36,0.22,0.62,0.82,0.99,0.41,0.82,0.98,0.23,0.74,0.78,0.58,0,COMPLETE
