,number,value,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,params_residual_const_1,params_residual_const_2,params_residual_const_3,params_residual_const_4,params_residual_const_5,params_residual_const_6,params_residual_const_7,params_residual_const_8,params_residual_const_9,params_residual_const_10,params_residual_const_11,params_residual_const_12,datetime_start,datetime_complete,duration,state,,
946,946,19.31300944,0.13,0.31,0.56,0.68,0.48,0.49,0.61,0.26,0.13,0.42,0.38,0.76,0.94,0.03,0,0.03,0.42,0.25,0.89,0.17,0.33,0.05,0.15,0.53,27:30.2,28:35.1,0 days 00:01:04.838510,COMPLETE,,
792,792,19.32085166,0.12,0.6,0.54,0.77,0.4,0.51,0.62,0.3,0.12,0.47,0.28,0.76,0.88,0.05,0.16,0.03,0.46,0.13,0.9,0.28,0.15,0.05,0.13,0.57,26:45.8,27:25.4,0 days 00:00:39.666322,COMPLETE,,
825,825,19.32085899,0.09,0.58,0.62,0.74,0.43,0.5,0.63,0.26,0.15,0.48,0.33,0.71,0.93,0.11,0.16,0.01,0.47,0.13,0.86,0.32,0.23,0.04,0.13,0.58,57:34.0,58:12.7,0 days 00:00:38.652826,COMPLETE,,
937,937,19.3260264,0.05,0.3,0.66,0.71,0.45,0.5,0.63,0.25,0.12,0.43,0.4,0.69,0.98,0,0.02,0.03,0.47,0.26,0.9,0.19,0.35,0.08,0.15,0.51,21:05.0,21:56.9,0 days 00:00:51.905805,COMPLETE,,
876,876,19.327031,0.09,0.48,0.66,0.71,0.44,0.5,0.66,0.24,0.14,0.49,0.39,0.9,0.99,0.04,0.09,0.04,0.45,0.18,0.87,0.26,0.21,0,0.1,0.51,37:07.5,37:44.6,0 days 00:00:37.134595,COMPLETE,,
794,794,19.32814689,0.11,0.61,0.57,0.78,0.39,0.51,0.65,0.28,0.12,0.48,0.29,0.71,0.88,0.04,0.17,0.05,0.44,0.13,0.89,0.23,0.18,0.05,0.09,0.56,27:54.9,28:31.7,0 days 00:00:36.848600,COMPLETE,,
828,828,19.32861456,0.15,0.58,0.61,0.74,0.42,0.5,0.61,0.26,0.15,0.48,0.31,0.71,0.91,0.1,0.15,0.01,0.49,0.14,0.83,0.37,0.25,0.02,0.13,0.57,59:49.2,00:55.3,0 days 00:01:06.057638,COMPLETE,,
785,785,19.32992784,0.13,0.63,0.39,0.8,0.38,0.49,0.64,0.28,0.12,0.52,0.23,0.1,0.83,0.12,0.21,0.04,0.42,0.14,0.94,0.23,0.06,0.04,0.15,0.59,22:40.1,23:15.7,0 days 00:00:35.606066,COMPLETE,,
925,925,19.3306545,1,0.37,0.62,0.68,0.46,0.51,0.61,0.24,0.12,0.46,0.38,0.94,0.93,0,0,0.04,0.48,0.27,0.89,0.23,0.32,0.08,0.12,0.54,13:48.2,14:38.8,0 days 00:00:50.612583,COMPLETE,,
923,923,19.33278557,0.12,0.41,0.63,0.71,0.44,0.51,0.61,0.24,0.13,0.46,0.38,0.98,0.98,0.02,0.02,0.03,0.5,0.24,0.89,0.24,0.32,0.03,0.04,0.53,12:44.1,13:18.7,0 days 00:00:34.603433,COMPLETE,,
904,904,19.33495082,0.06,0.36,0.69,0.7,0.45,0.49,0.63,0.23,0.13,0.46,0.36,0.97,1,0.05,0.03,0,0.49,0.26,0.89,0.24,0.28,0.04,0.05,0.51,58:14.8,58:55.2,0 days 00:00:40.331222,COMPLETE,,
911,911,19.33560724,0.08,0.37,0.68,0.72,0.44,0.49,0.62,0.24,0.13,0.45,0.38,0.96,1,0.04,0.03,0.02,0.51,0.24,0.88,0.22,0.32,0.04,0.11,0.51,02:34.0,03:15.6,0 days 00:00:41.650328,COMPLETE,,
706,706,19.33694856,0.16,0.68,0.49,0.86,0.39,0.52,0.58,0.32,0.13,0.57,0.56,0.07,0.79,0.16,0.21,0.06,0.35,0.11,0.91,0.17,0.07,0,0.2,0.7,28:20.5,28:49.0,0 days 00:00:28.562169,COMPLETE,,
997,997,19.33724222,0.09,0.32,0.67,0.72,0.46,0.51,0.61,0.23,0.14,0.48,0.33,0.74,1,0,0.02,0.02,0.44,0.24,0.87,0.08,0.34,0.05,0.1,0.52,10:20.4,11:10.8,0 days 00:00:50.418952,COMPLETE,,
862,862,19.33817418,0.15,0.52,0.62,0.74,0.4,0.5,0.67,0.27,0.15,0.46,0.31,0.96,1,0.06,0.12,0,0.48,0.16,0.8,0.31,0.18,0.04,0.11,0.51,27:24.4,27:51.7,0 days 00:00:27.345151,COMPLETE,,
788,788,19.33841252,0.09,0.63,0.53,0.77,0.41,0.51,0.63,0.28,0.12,0.51,0.26,1,0.85,0.08,0.16,0.04,0.46,0.2,0.9,0.22,0.14,0.04,0.14,0.57,24:32.1,25:00.8,0 days 00:00:28.698478,COMPLETE,,
890,890,19.3398768,0.12,0.42,0.64,0.71,0.42,0.5,0.68,0.24,0.14,0.49,0.39,0.95,1,0.05,0.07,0,0.44,0.17,0.86,0.29,0.2,0.02,0.09,0.51,47:03.5,47:52.2,0 days 00:00:48.699317,COMPLETE,,
929,929,19.34156563,0.13,0.42,0.61,0.68,0.46,0.52,0.62,0.25,0.13,0.52,0.34,0.91,0.98,0,0.05,0.05,0.49,0.26,0.9,0.2,0.32,0.08,0.12,0.48,16:40.0,17:26.3,0 days 00:00:46.248449,COMPLETE,,
961,961,19.34222456,0.17,0.22,0.58,0.72,0.45,0.49,0.63,0.21,0.13,0.42,0.43,0.72,0.96,0.02,0.06,0.02,0.47,0.26,0.9,0.12,0.36,0.09,0.13,0.56,38:24.1,39:04.2,0 days 00:00:40.170551,COMPLETE,,
948,948,19.34245453,0.16,0.26,0.56,0.66,0.48,0.48,0.61,0.25,0.13,0.41,0.38,0.74,0.94,0.03,0.03,0.02,0.43,0.27,0.91,0.13,0.33,0.06,0.15,0.53,29:19.7,30:06.2,0 days 00:00:46.438267,COMPLETE,,
598,598,19.34317652,0.45,0.64,0.4,0.71,0.42,0.53,0.58,0.29,0.12,0.55,0.48,0.03,0.8,0.19,0.17,0.03,0.51,0.16,0.66,0.28,0.08,0.13,0.21,0.63,51:42.1,52:13.4,0 days 00:00:31.270433,COMPLETE,,
874,874,19.3433636,0.09,0.49,0.67,0.72,0.44,0.48,0.67,0.22,0.14,0.5,0.39,0.91,0.99,0.04,0.09,0.04,0.45,0.18,0.84,0.29,0.21,0.04,0.13,0.56,35:08.8,35:49.6,0 days 00:00:40.866116,COMPLETE,,
804,804,19.34369905,0.14,0.58,0.57,0.79,0.4,0.51,0.61,0.27,0.15,0.46,0.31,1,0.92,0.08,0.13,0.02,0.45,0.15,0.88,0.29,0.16,0.05,0.12,0.55,39:37.7,40:07.6,0 days 00:00:29.915181,COMPLETE,,
823,823,19.34507862,0.11,0.56,0.65,0.74,0.42,0.48,0.64,0.26,0.15,0.48,0.32,0.94,0.94,0.1,0.15,0.01,0.47,0.13,0.85,0.31,0.19,0.03,0.13,0.59,56:04.6,56:51.0,0 days 00:00:46.375784,COMPLETE,,
943,943,19.34515492,0.06,0.35,0.74,0.71,0.47,0.49,0.61,0.23,0.13,0.42,0.4,0.71,0.93,0.02,0.02,0.03,0.47,0.25,0.91,0.17,0.34,0.04,0.12,0.52,25:19.1,25:54.9,0 days 00:00:35.782625,COMPLETE,,
953,953,19.34544597,0.17,0.3,0.54,0.69,0.48,0.49,0.59,0.23,0.13,0.41,0.42,0.72,0.93,0.03,0.04,0.02,0.5,0.29,0.9,0.15,0.35,0.06,0.12,0.54,32:22.5,32:53.2,0 days 00:00:30.629227,COMPLETE,,
681,681,19.34586854,0.21,0.68,0.48,0.84,0.36,0.52,0.57,0.31,0.13,0.53,0.43,0.06,0.82,0.02,0.19,0.06,0.42,0.13,0.93,0.24,0.07,0,0.21,0.57,04:56.2,06:19.8,0 days 00:01:23.632762,COMPLETE,,
